Company_Name,Industry,Company_Size,LinkedIn_URL,Website_URL,HQ_City,HQ_State,Annual_Revenue_Est,Tech_Stack,Current_AI_Tools,Recent_Signal,Copilot_Licenses_Est,Last_Enriched
Harbor Advisors,Consulting,201-500,https://linkedin.com/company/harbor-advisors,https://www.harboradvisors.com,Dallas,TX,$10M-$50M,Microsoft 365 + Salesforce,Multiple AI Tools,None Detected,50-200,2024-10-05
Vector Services,Financial Services,501-1000,https://linkedin.com/company/vector-services,https://www.vectorservices.com,New York,CA,$50M-$100M,Google Workspace,Custom LLM,IPO Filing,0,2024-11-11
Vantage LLC,Logistics,501-1000,https://linkedin.com/company/vantage-llc,https://www.vantagellc.com,Denver,CA,$50M-$100M,Google Workspace,ChatGPT,Leadership Change,0,2024-10-23
Vector Technologies,Real Estate,10000+,https://linkedin.com/company/vector-technologies,https://www.vectortechnologies.com,Denver,IL,$10M-$50M,Google Workspace,Microsoft Copilot,Leadership Change,0,2024-12-15
Clearwater LLC,Logistics,51-200,https://linkedin.com/company/clearwater-llc,https://www.clearwaterllc.com,Atlanta,CA,$1B+,Microsoft 365,Microsoft Copilot,None Detected,0,2024-11-25
Luminary Network,Logistics,201-500,https://linkedin.com/company/luminary-network,https://www.luminarynetwork.com,Dallas,NC,$500M-$1B,Microsoft 365 + SAP,ChatGPT,IPO Filing,0,2024-10-02
Atlas Partners,Consulting,1001-5000,https://linkedin.com/company/atlas-partners,https://www.atlaspartners.com,Chicago,GA,$1B+,Mixed/Legacy,Multiple AI Tools,Series C Funding,200-500,2024-11-27
Northbridge Corp,Technology,501-1000,https://linkedin.com/company/northbridge-corp,https://www.northbridgecorp.com,Denver,IL,$10M-$50M,Microsoft 365 + SAP,Microsoft Copilot,IPO Filing,50-200,2024-10-02
Harbor Consulting,Technology,51-200,https://linkedin.com/company/harbor-consulting,https://www.harborconsulting.com,New York,TX,$10M-$50M,Microsoft 365 + SAP,None Known,IPO Filing,<50,2024-10-28
Granite Systems,Legal,201-500,https://linkedin.com/company/granite-systems,https://www.granitesystems.com,Chicago,CA,$50M-$100M,Google Workspace,None Known,Series C Funding,500+,2024-10-22
Nexus Global,Real Estate,10000+,https://linkedin.com/company/nexus-global,https://www.nexusglobal.com,Charlotte,WA,$500M-$1B,Mixed/Legacy,Microsoft Copilot,Leadership Change,<50,2024-12-14
Fortress Management,Legal,501-1000,https://linkedin.com/company/fortress-management,https://www.fortressmanagement.com,Los Angeles,TX,$10M-$50M,Mixed/Legacy,Multiple AI Tools,Leadership Change,0,2024-10-24
Granite Group,Healthcare,10000+,https://linkedin.com/company/granite-group,https://www.granitegroup.com,Chicago,CO,$50M-$100M,Microsoft 365,Multiple AI Tools,Hiring Surge,0,2024-12-13
Fortress Technologies,Retail,5001-10000,https://linkedin.com/company/fortress-technologies,https://www.fortresstechnologies.com,Seattle,TX,$500M-$1B,Microsoft 365 + Salesforce,Microsoft Copilot,Leadership Change,500+,2024-12-11
Pinnacle Solutions,Legal,501-1000,https://linkedin.com/company/pinnacle-solutions,https://www.pinnaclesolutions.com,Los Angeles,CO,$500M-$1B,Mixed/Legacy,Custom LLM,IPO Filing,500+,2024-11-13
Eastwick Management,Legal,51-200,https://linkedin.com/company/eastwick-management,https://www.eastwickmanagement.com,Atlanta,IL,$50M-$100M,Google Workspace,Microsoft Copilot,Series C Funding,0,2024-12-20
Vector Network,Real Estate,51-200,https://linkedin.com/company/vector-network,https://www.vectornetwork.com,Denver,NY,$1B+,Microsoft 365,ChatGPT,Expansion Announcement,500+,2024-10-21
Pinnacle Partners,Logistics,10000+,https://linkedin.com/company/pinnacle-partners,https://www.pinnaclepartners.com,Charlotte,NC,$500M-$1B,Microsoft 365,Microsoft Copilot,Leadership Change,0,2024-11-21
Beacon Group,Financial Services,1001-5000,https://linkedin.com/company/beacon-group,https://www.beacongroup.com,San Francisco,CA,$500M-$1B,Mixed/Legacy,None Known,IPO Filing,0,2024-10-02
Sterling Holdings,Financial Services,10000+,https://linkedin.com/company/sterling-holdings,https://www.sterlingholdings.com,Atlanta,NC,$100M-$500M,Google Workspace,Custom LLM,Leadership Change,0,2024-10-18
Eastwick Global,Logistics,10000+,https://linkedin.com/company/eastwick-global,https://www.eastwickglobal.com,Chicago,CA,$500M-$1B,Google Workspace,Custom LLM,M&A Activity,0,2024-11-08
Orion Consulting,Real Estate,1001-5000,https://linkedin.com/company/orion-consulting,https://www.orionconsulting.com,Charlotte,WA,$1B+,Google Workspace,Multiple AI Tools,Leadership Change,0,2024-12-21
Crestview Associates,Consulting,501-1000,https://linkedin.com/company/crestview-associates,https://www.crestviewassociates.com,Seattle,TX,$1B+,Mixed/Legacy,Microsoft Copilot,New Product Launch,0,2024-11-26
Bluestone Capital,Consulting,10000+,https://linkedin.com/company/bluestone-capital,https://www.bluestonecapital.com,San Francisco,GA,$1B+,Microsoft 365 + SAP,Microsoft Copilot,Expansion Announcement,<50,2024-10-23
Vantage Consulting,Real Estate,10000+,https://linkedin.com/company/vantage-consulting,https://www.vantageconsulting.com,Chicago,GA,$100M-$500M,Google Workspace,None Known,Expansion Announcement,50-200,2024-11-14
Nexus Services,Real Estate,1001-5000,https://linkedin.com/company/nexus-services,https://www.nexusservices.com,Seattle,IL,$500M-$1B,Mixed/Legacy,Microsoft Copilot,Digital Transformation Initiative,<50,2024-11-06
Sterling Global,Logistics,1001-5000,https://linkedin.com/company/sterling-global,https://www.sterlingglobal.com,Charlotte,GA,$10M-$50M,Mixed/Legacy,Microsoft Copilot,Expansion Announcement,<50,2024-12-28
Titan Resources,Financial Services,5001-10000,https://linkedin.com/company/titan-resources,https://www.titanresources.com,Chicago,WA,$100M-$500M,Microsoft 365 + Salesforce,Microsoft Copilot,Leadership Change,0,2024-11-05
Vantage Technologies,Technology,201-500,https://linkedin.com/company/vantage-technologies,https://www.vantagetechnologies.com,New York,CA,$1B+,Microsoft 365 + Salesforce,Microsoft Copilot,M&A Activity,0,2024-12-09
Pacific Holdings,Technology,501-1000,https://linkedin.com/company/pacific-holdings,https://www.pacificholdings.com,Seattle,NY,$500M-$1B,Mixed/Legacy,None Known,None Detected,200-500,2024-11-08
Orion Resources,Financial Services,1001-5000,https://linkedin.com/company/orion-resources,https://www.orionresources.com,Chicago,NC,$500M-$1B,Microsoft 365,None Known,Series C Funding,0,2024-12-12
Atlas Technologies,Legal,1001-5000,https://linkedin.com/company/atlas-technologies,https://www.atlastechnologies.com,Denver,IL,$50M-$100M,Mixed/Legacy,Microsoft Copilot,None Detected,0,2024-12-28
Northbridge Partners,Real Estate,10000+,https://linkedin.com/company/northbridge-partners,https://www.northbridgepartners.com,San Francisco,CA,$1B+,Google Workspace,Microsoft Copilot,M&A Activity,0,2024-10-24
Vector Management,Healthcare,5001-10000,https://linkedin.com/company/vector-management,https://www.vectormanagement.com,Dallas,MA,$500M-$1B,Microsoft 365 + SAP,ChatGPT,Leadership Change,50-200,2024-11-15
Eastwick Ventures,Real Estate,1001-5000,https://linkedin.com/company/eastwick-ventures,https://www.eastwickventures.com,Chicago,MA,$50M-$100M,Microsoft 365,Multiple AI Tools,New Product Launch,0,2024-12-11
Eastwick Advisors,Consulting,1001-5000,https://linkedin.com/company/eastwick-advisors,https://www.eastwickadvisors.com,Boston,MA,$50M-$100M,Microsoft 365,None Known,Series C Funding,50-200,2024-10-25
Keystone LLC,Manufacturing,10000+,https://linkedin.com/company/keystone-llc,https://www.keystonellc.com,Seattle,TX,$1B+,Microsoft 365 + SAP,ChatGPT,Expansion Announcement,0,2024-10-25
Vantage Enterprises,Retail,5001-10000,https://linkedin.com/company/vantage-enterprises,https://www.vantageenterprises.com,Charlotte,CA,$50M-$100M,Microsoft 365 + SAP,Multiple AI Tools,IPO Filing,0,2024-10-01
Clearwater Partners,Financial Services,201-500,https://linkedin.com/company/clearwater-partners,https://www.clearwaterpartners.com,New York,MA,$500M-$1B,Microsoft 365 + Salesforce,Custom LLM,Digital Transformation Initiative,50-200,2024-10-27
Cornerstone Ventures,Logistics,51-200,https://linkedin.com/company/cornerstone-ventures,https://www.cornerstoneventures.com,Charlotte,CA,$10M-$50M,Google Workspace,Microsoft Copilot,Digital Transformation Initiative,500+,2024-10-04
Pacific Capital,Logistics,501-1000,https://linkedin.com/company/pacific-capital,https://www.pacificcapital.com,Atlanta,IL,$100M-$500M,Mixed/Legacy,Microsoft Copilot,Series C Funding,0,2024-11-09
Titan Systems,Energy,501-1000,https://linkedin.com/company/titan-systems,https://www.titansystems.com,Boston,CA,$10M-$50M,Mixed/Legacy,Multiple AI Tools,Hiring Surge,200-500,2024-12-02
Harbor Group,Energy,10000+,https://linkedin.com/company/harbor-group,https://www.harborgroup.com,Seattle,TX,$500M-$1B,Google Workspace,None Known,Expansion Announcement,500+,2024-10-27
Pinnacle Associates,Manufacturing,10000+,https://linkedin.com/company/pinnacle-associates,https://www.pinnacleassociates.com,Charlotte,CA,$50M-$100M,Mixed/Legacy,Microsoft Copilot,IPO Filing,0,2024-10-22
