Survey_ID,Survey_Date,Company,Industry,Company_Size_Employees,Respondent_Role,Primary_Product,Primary_Use_Case,Months_Deployed,Licenses_Assigned,NPS_Score,NPS_Category,Verbatim_Comment,Would_Expand,ROI_Realized,Adoption_Rate_Pct
NPS-5000,2024-12-13,Meridian Financial Group,Financial Services,1200,Individual Contributor,Teams Premium,Document Analysis,5,74,7,Passive,The output quality is strong but we need better governance tools for enterprise-wide prompt management.,Maybe,Significant,84
NPS-5001,2024-10-28,Meridian Financial Group,Financial Services,1200,Individual Contributor,Teams Premium,Research & Synthesis,14,220,9,Promoter,Integration with our existing M365 environment was seamless. Adoption was faster than any technology we've rolled out in 5 years.,Yes,Moderate,54
NPS-5002,2024-09-13,Meridian Financial Group,Financial Services,1200,Individual Contributor,Teams Premium,Presentation Creation,5,130,4,Detractor,The change management burden was significantly underestimated. We need more structured adoption support.,No,Minimal,32
NPS-5003,2024-11-07,Meridian Financial Group,Financial Services,1200,IT Admin,M365 Copilot,Research & Synthesis,5,128,7,Passive,Works well for individual productivity but cross-team collaboration features could be stronger.,Maybe,Too Early,48
NPS-5004,2024-08-17,Meridian Financial Group,Financial Services,1200,Manager,Teams Premium,Data Analysis,17,162,10,Promoter,Meeting summaries alone have saved our executive team 6+ hours per week. The action item tracking is exceptional.,Yes,Moderate,47
NPS-5005,2024-10-21,Meridian Financial Group,Financial Services,1200,Executive/C-Suite,M365 Copilot,Document Analysis,16,30,8,Passive,Promising technology. Waiting for the product to mature before expanding our license footprint.,Yes,Significant,54
NPS-5006,2024-07-21,Meridian Financial Group,Financial Services,1200,Manager,Copilot Studio,Meeting Summaries,15,61,8,Passive,The output quality is strong but we need better governance tools for enterprise-wide prompt management.,Yes,Moderate,73
NPS-5007,2024-10-02,Meridian Financial Group,Financial Services,1200,Manager,Copilot Studio,Research & Synthesis,14,187,10,Promoter,Meeting summaries alone have saved our executive team 6+ hours per week. The action item tracking is exceptional.,Yes,Moderate,92
NPS-5008,2024-07-05,Meridian Financial Group,Financial Services,1200,Power User,Copilot Studio,Document Analysis,6,34,9,Promoter,Customer-facing teams have seen measurable improvement in proposal quality and turnaround time. Win rate is up 8%.,Yes,Minimal,56
NPS-5009,2024-10-26,Meridian Financial Group,Financial Services,1200,Director,Copilot for Finance,Document Analysis,13,207,10,Promoter,Document summarization is exceptional for our M&A due diligence workflows. Game changer for deal speed.,Yes,Moderate,61
NPS-5010,2024-11-27,Meridian Financial Group,Financial Services,1200,Executive/C-Suite,Copilot for Sales,Document Analysis,12,12,9,Promoter,Document summarization is exceptional for our M&A due diligence workflows. Game changer for deal speed.,Yes,Significant,66
NPS-5011,2024-10-27,Meridian Financial Group,Financial Services,1200,Director,Copilot for Finance,Research & Synthesis,15,108,8,Passive,Promising technology. Waiting for the product to mature before expanding our license footprint.,Yes,Minimal,79
NPS-5012,2024-09-28,Meridian Financial Group,Financial Services,1200,Executive/C-Suite,Teams Premium,Meeting Summaries,17,68,10,Promoter,Customer-facing teams have seen measurable improvement in proposal quality and turnaround time. Win rate is up 8%.,Yes,Moderate,86
NPS-5013,2024-12-22,Meridian Financial Group,Financial Services,1200,Power User,Copilot for Sales,Email Drafting,9,205,10,Promoter,The prompt library we built internally has become a competitive advantage. Copilot is now core to our operating model.,Yes,Moderate,69
NPS-5014,2024-11-10,Meridian Financial Group,Financial Services,1200,Manager,Copilot for Finance,Email Drafting,11,27,10,Promoter,Customer-facing teams have seen measurable improvement in proposal quality and turnaround time. Win rate is up 8%.,Yes,Minimal,95
NPS-5015,2024-09-14,Meridian Financial Group,Financial Services,1200,Individual Contributor,Copilot Studio,Document Analysis,16,235,10,Promoter,Our legal team uses Copilot to review contracts in a fraction of the time. Risk flagging is remarkably accurate.,Yes,Moderate,63
NPS-5016,2024-07-22,Meridian Financial Group,Financial Services,1200,Individual Contributor,Copilot Studio,Workflow Automation,9,98,7,Passive,Good product. We'd like to see better integration with our non-Microsoft systems like Salesforce and Workday.,Maybe,Minimal,89
NPS-5017,2024-12-08,Meridian Financial Group,Financial Services,1200,Manager,Teams Premium,Document Analysis,16,200,10,Promoter,Our legal team uses Copilot to review contracts in a fraction of the time. Risk flagging is remarkably accurate.,Yes,Too Early,67
NPS-5018,2024-11-10,Meridian Financial Group,Financial Services,1200,Power User,Copilot for Finance,Meeting Summaries,9,10,5,Detractor,Performance during peak hours is unacceptable for our trading floor use case. Latency is a deal breaker.,No,Too Early,25
NPS-5019,2024-11-17,Meridian Financial Group,Financial Services,1200,IT Admin,Copilot for Finance,Data Analysis,16,129,7,Passive,Promising technology. Waiting for the product to mature before expanding our license footprint.,Maybe,Minimal,57
NPS-5020,2024-10-10,Meridian Financial Group,Financial Services,1200,Power User,M365 Copilot,Email Drafting,4,24,10,Promoter,The ROI is undeniable. Our analysts are spending 40% less time on data prep and more time on actual analysis.,Yes,Minimal,80
NPS-5021,2024-08-09,Meridian Financial Group,Financial Services,1200,Power User,Copilot Studio,Code Generation,15,112,7,Passive,Copilot is useful but adoption has been uneven across departments. Power users love it; casual users rarely engage.,Maybe,Too Early,66
NPS-5022,2024-12-06,Meridian Financial Group,Financial Services,1200,Director,Teams Premium,Workflow Automation,16,153,10,Promoter,Customer-facing teams have seen measurable improvement in proposal quality and turnaround time. Win rate is up 8%.,Yes,Minimal,61
NPS-5023,2024-10-19,Meridian Financial Group,Financial Services,1200,Director,Copilot for Sales,Workflow Automation,8,221,9,Promoter,Customer-facing teams have seen measurable improvement in proposal quality and turnaround time. Win rate is up 8%.,Yes,Too Early,87
NPS-5024,2024-09-26,Meridian Financial Group,Financial Services,1200,Director,M365 Copilot,Data Analysis,3,39,10,Promoter,Document summarization is exceptional for our M&A due diligence workflows. Game changer for deal speed.,Yes,Too Early,49
NPS-5025,2024-08-05,Meridian Financial Group,Financial Services,1200,Manager,M365 Copilot,Code Generation,16,76,9,Promoter,The prompt library we built internally has become a competitive advantage. Copilot is now core to our operating model.,Yes,Significant,70
NPS-5026,2024-10-02,Meridian Financial Group,Financial Services,1200,Executive/C-Suite,M365 Copilot,Presentation Creation,12,50,8,Passive,Works well for individual productivity but cross-team collaboration features could be stronger.,Yes,Too Early,59
NPS-5027,2024-11-07,Meridian Financial Group,Financial Services,1200,Director,M365 Copilot,Workflow Automation,14,28,6,Detractor,Too many limitations on what Copilot can access within our information-barrier architecture.,Maybe,Too Early,26
NPS-5028,2024-08-05,Meridian Financial Group,Financial Services,1200,Power User,Copilot for Sales,Email Drafting,7,221,9,Promoter,The ROI is undeniable. Our analysts are spending 40% less time on data prep and more time on actual analysis.,Yes,Significant,47
NPS-5029,2024-11-25,Meridian Financial Group,Financial Services,1200,IT Admin,Copilot for Finance,Document Analysis,10,167,8,Passive,Promising technology. Waiting for the product to mature before expanding our license footprint.,Yes,Moderate,66
NPS-5030,2024-10-21,Meridian Financial Group,Financial Services,1200,Executive/C-Suite,Copilot for Sales,Research & Synthesis,6,47,7,Passive,The output quality is strong but we need better governance tools for enterprise-wide prompt management.,Maybe,Significant,59
NPS-5031,2024-08-25,Meridian Financial Group,Financial Services,1200,Individual Contributor,M365 Copilot,Data Analysis,8,234,9,Promoter,The ROI is undeniable. Our analysts are spending 40% less time on data prep and more time on actual analysis.,Yes,Too Early,68
NPS-5032,2024-08-01,Meridian Financial Group,Financial Services,1200,Manager,Copilot for Sales,Meeting Summaries,12,50,9,Promoter,Copilot has fundamentally changed how our Finance team prepares board materials. What took 3 days now takes 4 hours.,Yes,Minimal,80
NPS-5033,2024-09-06,Meridian Financial Group,Financial Services,1200,Manager,Copilot for Sales,Email Drafting,5,20,8,Passive,Promising technology. Waiting for the product to mature before expanding our license footprint.,Yes,Minimal,66
NPS-5034,2024-08-23,Meridian Financial Group,Financial Services,1200,Power User,Copilot for Sales,Meeting Summaries,10,150,8,Passive,Good product. We'd like to see better integration with our non-Microsoft systems like Salesforce and Workday.,Yes,Significant,93
NPS-5035,2024-11-14,Meridian Financial Group,Financial Services,1200,Manager,Copilot for Finance,Research & Synthesis,10,54,8,Passive,Promising technology. Waiting for the product to mature before expanding our license footprint.,Yes,Significant,58
NPS-5036,2024-11-01,Meridian Financial Group,Financial Services,1200,Director,Copilot for Sales,Document Analysis,16,11,10,Promoter,The ROI is undeniable. Our analysts are spending 40% less time on data prep and more time on actual analysis.,Yes,Moderate,53
NPS-5037,2024-10-05,Meridian Financial Group,Financial Services,1200,Director,Copilot for Sales,Meeting Summaries,8,158,10,Promoter,Our legal team uses Copilot to review contracts in a fraction of the time. Risk flagging is remarkably accurate.,Yes,Significant,86
NPS-5038,2024-11-08,Meridian Financial Group,Financial Services,1200,Executive/C-Suite,Copilot Studio,Research & Synthesis,5,52,10,Promoter,Copilot for Finance has transformed our monthly close process. Variance analysis that took 2 days now takes 2 hours.,Yes,Minimal,72
NPS-5039,2024-11-16,Meridian Financial Group,Financial Services,1200,Director,Copilot for Finance,Email Drafting,10,197,8,Passive,The output quality is strong but we need better governance tools for enterprise-wide prompt management.,Yes,Moderate,90
NPS-5040,2024-12-08,Meridian Financial Group,Financial Services,1200,Executive/C-Suite,Copilot for Finance,Data Analysis,7,131,10,Promoter,Meeting summaries alone have saved our executive team 6+ hours per week. The action item tracking is exceptional.,Yes,Moderate,88
NPS-5041,2024-12-14,Meridian Financial Group,Financial Services,1200,Manager,Teams Premium,Email Drafting,10,185,7,Passive,Works well for individual productivity but cross-team collaboration features could be stronger.,Maybe,Too Early,78
NPS-5042,2024-08-04,Meridian Financial Group,Financial Services,1200,IT Admin,M365 Copilot,Data Analysis,13,136,7,Passive,Promising technology. Waiting for the product to mature before expanding our license footprint.,Maybe,Significant,47
NPS-5043,2024-09-22,Meridian Financial Group,Financial Services,1200,Individual Contributor,M365 Copilot,Presentation Creation,12,57,7,Passive,Copilot is useful but adoption has been uneven across departments. Power users love it; casual users rarely engage.,Maybe,Minimal,45
NPS-5044,2024-09-13,Meridian Financial Group,Financial Services,1200,IT Admin,Copilot Studio,Code Generation,6,50,7,Passive,Good product. We'd like to see better integration with our non-Microsoft systems like Salesforce and Workday.,Maybe,Moderate,89
NPS-5045,2024-08-05,Meridian Financial Group,Financial Services,1200,Manager,Copilot Studio,Code Generation,3,100,7,Passive,Copilot is useful but adoption has been uneven across departments. Power users love it; casual users rarely engage.,Maybe,Significant,69
NPS-5046,2024-07-01,Meridian Financial Group,Financial Services,1200,Executive/C-Suite,Copilot for Sales,Presentation Creation,7,209,10,Promoter,Integration with our existing M365 environment was seamless. Adoption was faster than any technology we've rolled out in 5 years.,Yes,Significant,56
NPS-5047,2024-07-22,Meridian Financial Group,Financial Services,1200,Director,Teams Premium,Presentation Creation,3,121,9,Promoter,The ROI is undeniable. Our analysts are spending 40% less time on data prep and more time on actual analysis.,Yes,Too Early,50
NPS-5048,2024-12-12,Meridian Financial Group,Financial Services,1200,Power User,Copilot for Sales,Workflow Automation,11,93,8,Passive,Helpful for some use cases but the learning curve for non-technical staff is steeper than we expected.,Yes,Significant,62
NPS-5049,2024-11-04,Meridian Financial Group,Financial Services,1200,IT Admin,Teams Premium,Email Drafting,11,93,10,Promoter,Integration with our existing M365 environment was seamless. Adoption was faster than any technology we've rolled out in 5 years.,Yes,Minimal,64
NPS-5050,2024-12-09,Apex Global Partners,Consulting,450,IT Admin,Teams Premium,Data Analysis,3,87,8,Passive,Helpful for some use cases but the learning curve for non-technical staff is steeper than we expected.,Yes,Significant,94
NPS-5051,2024-09-17,Apex Global Partners,Consulting,450,Individual Contributor,M365 Copilot,Meeting Summaries,17,64,7,Passive,Promising technology. Waiting for the product to mature before expanding our license footprint.,Maybe,Moderate,83
NPS-5052,2024-11-09,Apex Global Partners,Consulting,450,Power User,Copilot Studio,Email Drafting,9,18,10,Promoter,Customer-facing teams have seen measurable improvement in proposal quality and turnaround time. Win rate is up 8%.,Yes,Too Early,92
NPS-5053,2024-10-07,Apex Global Partners,Consulting,450,Individual Contributor,Copilot for Sales,Email Drafting,5,26,9,Promoter,Copilot has fundamentally changed how our Finance team prepares board materials. What took 3 days now takes 4 hours.,Yes,Too Early,87
NPS-5054,2024-12-21,Apex Global Partners,Consulting,450,Power User,Copilot Studio,Meeting Summaries,9,36,1,Detractor,Too many limitations on what Copilot can access within our information-barrier architecture.,No,Minimal,15
NPS-5055,2024-07-10,Apex Global Partners,Consulting,450,Individual Contributor,Copilot for Sales,Document Analysis,8,63,10,Promoter,Our legal team uses Copilot to review contracts in a fraction of the time. Risk flagging is remarkably accurate.,Yes,Moderate,93
NPS-5056,2024-12-06,Apex Global Partners,Consulting,450,Individual Contributor,Copilot for Finance,Email Drafting,12,42,4,Detractor,Performance during peak hours is unacceptable for our trading floor use case. Latency is a deal breaker.,No,None,22
NPS-5057,2024-11-16,Apex Global Partners,Consulting,450,Executive/C-Suite,Copilot Studio,Email Drafting,7,47,7,Passive,Helpful for some use cases but the learning curve for non-technical staff is steeper than we expected.,Maybe,Moderate,94
NPS-5058,2024-09-05,Apex Global Partners,Consulting,450,IT Admin,Copilot for Sales,Workflow Automation,8,68,7,Passive,Good product. We'd like to see better integration with our non-Microsoft systems like Salesforce and Workday.,Maybe,Moderate,66
NPS-5059,2024-11-14,Apex Global Partners,Consulting,450,IT Admin,Teams Premium,Data Analysis,5,39,9,Promoter,Document summarization is exceptional for our M&A due diligence workflows. Game changer for deal speed.,Yes,Moderate,81
NPS-5060,2024-07-14,Apex Global Partners,Consulting,450,Executive/C-Suite,Copilot for Sales,Research & Synthesis,3,64,9,Promoter,The ROI is undeniable. Our analysts are spending 40% less time on data prep and more time on actual analysis.,Yes,Too Early,51
NPS-5061,2024-08-04,Apex Global Partners,Consulting,450,Executive/C-Suite,M365 Copilot,Data Analysis,10,48,10,Promoter,The ROI is undeniable. Our analysts are spending 40% less time on data prep and more time on actual analysis.,Yes,Moderate,91
NPS-5062,2024-07-11,Apex Global Partners,Consulting,450,Manager,Copilot for Sales,Document Analysis,5,88,10,Promoter,Integration with our existing M365 environment was seamless. Adoption was faster than any technology we've rolled out in 5 years.,Yes,Significant,58
NPS-5063,2024-11-20,Apex Global Partners,Consulting,450,Manager,Copilot for Finance,Presentation Creation,11,71,8,Passive,Helpful for some use cases but the learning curve for non-technical staff is steeper than we expected.,Yes,Minimal,58
NPS-5064,2024-12-17,Apex Global Partners,Consulting,450,Manager,Teams Premium,Meeting Summaries,10,36,9,Promoter,Document summarization is exceptional for our M&A due diligence workflows. Game changer for deal speed.,Yes,Too Early,90
NPS-5065,2024-07-20,Apex Global Partners,Consulting,450,Individual Contributor,Teams Premium,Presentation Creation,12,12,9,Promoter,Document summarization is exceptional for our M&A due diligence workflows. Game changer for deal speed.,Yes,Minimal,54
NPS-5066,2024-08-18,Apex Global Partners,Consulting,450,Director,Copilot for Finance,Meeting Summaries,12,56,4,Detractor,Too many limitations on what Copilot can access within our information-barrier architecture.,No,None,21
NPS-5067,2024-12-06,Apex Global Partners,Consulting,450,Power User,Copilot Studio,Code Generation,16,35,2,Detractor,Too many limitations on what Copilot can access within our information-barrier architecture.,No,Minimal,26
NPS-5068,2024-11-21,Apex Global Partners,Consulting,450,Power User,M365 Copilot,Workflow Automation,15,57,8,Passive,Promising technology. Waiting for the product to mature before expanding our license footprint.,Yes,Too Early,61
NPS-5069,2024-09-13,Apex Global Partners,Consulting,450,Executive/C-Suite,Teams Premium,Presentation Creation,6,10,6,Detractor,Too many limitations on what Copilot can access within our information-barrier architecture.,Maybe,None,52
NPS-5070,2024-08-05,Apex Global Partners,Consulting,450,Director,Copilot Studio,Email Drafting,11,62,9,Promoter,Our legal team uses Copilot to review contracts in a fraction of the time. Risk flagging is remarkably accurate.,Yes,Moderate,63
