Month,Year,Product_Line,Region,Revenue,COGS,Gross_Profit,Gross_Margin_Pct,Units_Sold,ASP,Discount_Amount,Discount_Pct,Channel,Sales_Rep_ID,Customer_Segment
January,2024,Enterprise SaaS,Northeast,1842500,552750,1289750,70.0,147,12534,184250,10.0,Direct,SR-011,Enterprise
January,2024,Enterprise SaaS,Southeast,1124000,337200,786800,70.0,89,12629,112400,10.0,Direct,SR-022,Enterprise
January,2024,Enterprise SaaS,Midwest,987500,296250,691250,70.0,79,12500,98750,10.0,Partner,SR-033,Mid-Market
January,2024,Enterprise SaaS,West,2341000,702300,1638700,70.0,186,12586,234100,10.0,Direct,SR-044,Enterprise
January,2024,Professional Services,Northeast,445000,267000,178000,40.0,89,5000,22250,5.0,Direct,SR-012,Enterprise
January,2024,Professional Services,West,612000,367200,244800,40.0,102,6000,30600,5.0,Direct,SR-045,Enterprise
January,2024,Support & Maintenance,Northeast,198000,59400,138600,70.0,396,500,0,0.0,Direct,SR-011,Enterprise
January,2024,Support & Maintenance,West,287000,86100,200900,70.0,574,500,0,0.0,Direct,SR-044,Enterprise
January,2024,Training,Northeast,87500,43750,43750,50.0,35,2500,0,0.0,Online,SR-013,Mid-Market
January,2024,Training,West,124000,62000,62000,50.0,62,2000,6200,5.0,Online,SR-046,Enterprise
February,2024,Enterprise SaaS,Northeast,1923000,576900,1346100,70.0,153,12569,192300,10.0,Direct,SR-011,Enterprise
February,2024,Enterprise SaaS,Southeast,1187500,356250,831250,70.0,95,12500,118750,10.0,Direct,SR-022,Enterprise
February,2024,Enterprise SaaS,Midwest,1045000,313500,731500,70.0,84,12440,104500,10.0,Partner,SR-033,Mid-Market
February,2024,Enterprise SaaS,West,2489000,746700,1742300,70.0,198,12571,248900,10.0,Direct,SR-044,Enterprise
February,2024,Professional Services,Northeast,478000,286800,191200,40.0,96,4979,23900,5.0,Direct,SR-012,Enterprise
February,2024,Professional Services,West,657000,394200,262800,40.0,109,6028,32850,5.0,Direct,SR-045,Enterprise
February,2024,Support & Maintenance,Northeast,203000,60900,142100,70.0,406,500,0,0.0,Direct,SR-011,Enterprise
February,2024,Support & Maintenance,West,295000,88500,206500,70.0,590,500,0,0.0,Direct,SR-044,Enterprise
February,2024,Training,Northeast,92000,46000,46000,50.0,46,2000,0,0.0,Online,SR-013,Mid-Market
February,2024,Training,West,131000,65500,65500,50.0,65,2015,6550,5.0,Online,SR-046,Enterprise
March,2024,Enterprise SaaS,Northeast,2145000,643500,1501500,70.0,171,12544,214500,10.0,Direct,SR-011,Enterprise
March,2024,Enterprise SaaS,Southeast,1342000,402600,939400,70.0,107,12542,134200,10.0,Direct,SR-022,Enterprise
March,2024,Enterprise SaaS,Midwest,1198000,359400,838600,70.0,96,12479,119800,10.0,Partner,SR-033,Mid-Market
March,2024,Enterprise SaaS,West,2876000,862800,2013200,70.0,229,12559,287600,10.0,Direct,SR-044,Enterprise
March,2024,Professional Services,Northeast,523000,313800,209200,40.0,105,4981,26150,5.0,Direct,SR-012,Enterprise
March,2024,Professional Services,West,734000,440400,293600,40.0,122,6016,36700,5.0,Direct,SR-045,Enterprise
March,2024,Support & Maintenance,Northeast,214000,64200,149800,70.0,428,500,0,0.0,Direct,SR-011,Enterprise
March,2024,Support & Maintenance,West,311000,93300,217700,70.0,622,500,0,0.0,Direct,SR-044,Enterprise
March,2024,Training,Northeast,98000,49000,49000,50.0,49,2000,0,0.0,Online,SR-013,Mid-Market
March,2024,Training,West,143000,71500,71500,50.0,71,2014,7150,5.0,Online,SR-046,Enterprise
April,2024,Enterprise SaaS,Northeast,2087000,626100,1460900,70.0,166,12572,208700,10.0,Direct,SR-011,Enterprise
April,2024,Enterprise SaaS,Southeast,1289000,386700,902300,70.0,103,12515,128900,10.0,Direct,SR-022,Enterprise
April,2024,Enterprise SaaS,Midwest,1156000,346800,809200,70.0,93,12430,115600,10.0,Partner,SR-033,Mid-Market
April,2024,Enterprise SaaS,West,2743000,822900,1920100,70.0,218,12583,274300,10.0,Direct,SR-044,Enterprise
April,2024,Professional Services,Northeast,498000,298800,199200,40.0,100,4980,24900,5.0,Direct,SR-012,Enterprise
April,2024,Professional Services,West,701000,420600,280400,40.0,117,5991,35050,5.0,Direct,SR-045,Enterprise
April,2024,Support & Maintenance,Northeast,208000,62400,145600,70.0,416,500,0,0.0,Direct,SR-011,Enterprise
April,2024,Support & Maintenance,West,305000,91500,213500,70.0,610,500,0,0.0,Direct,SR-044,Enterprise
April,2024,Training,Northeast,95000,47500,47500,50.0,47,2021,0,0.0,Online,SR-013,Mid-Market
April,2024,Training,West,138000,69000,69000,50.0,69,2000,6900,5.0,Online,SR-046,Enterprise
May,2024,Enterprise SaaS,Northeast,2234000,670200,1563800,70.0,178,12551,223400,10.0,Direct,SR-011,Enterprise
May,2024,Enterprise SaaS,Southeast,1398000,419400,978600,70.0,112,12482,139800,10.0,Direct,SR-022,Enterprise
May,2024,Enterprise SaaS,Midwest,1287000,386100,900900,70.0,103,12495,128700,10.0,Partner,SR-033,Mid-Market
May,2024,Enterprise SaaS,West,2934000,880200,2053800,70.0,233,12591,293400,10.0,Direct,SR-044,Enterprise
May,2024,Professional Services,Northeast,541000,324600,216400,40.0,108,5009,27050,5.0,Direct,SR-012,Enterprise
May,2024,Professional Services,West,762000,457200,304800,40.0,127,6000,38100,5.0,Direct,SR-045,Enterprise
May,2024,Support & Maintenance,Northeast,221000,66300,154700,70.0,442,500,0,0.0,Direct,SR-011,Enterprise
May,2024,Support & Maintenance,West,319000,95700,223300,70.0,638,500,0,0.0,Direct,SR-044,Enterprise
May,2024,Training,Northeast,103000,51500,51500,50.0,51,2020,0,0.0,Online,SR-013,Mid-Market
May,2024,Training,West,149000,74500,74500,50.0,74,2014,7450,5.0,Online,SR-046,Enterprise
June,2024,Enterprise SaaS,Northeast,2412000,723600,1688400,70.0,192,12563,241200,10.0,Direct,SR-011,Enterprise
June,2024,Enterprise SaaS,Southeast,1521000,456300,1064700,70.0,121,12570,152100,10.0,Direct,SR-022,Enterprise
June,2024,Enterprise SaaS,Midwest,1389000,416700,972300,70.0,111,12514,138900,10.0,Partner,SR-033,Mid-Market
June,2024,Enterprise SaaS,West,3187000,956100,2230900,70.0,254,12547,318700,10.0,Direct,SR-044,Enterprise
June,2024,Professional Services,Northeast,589000,353400,235600,40.0,118,4992,29450,5.0,Direct,SR-012,Enterprise
June,2024,Professional Services,West,831000,498600,332400,40.0,138,6022,41550,5.0,Direct,SR-045,Enterprise
June,2024,Support & Maintenance,Northeast,232000,69600,162400,70.0,464,500,0,0.0,Direct,SR-011,Enterprise
June,2024,Support & Maintenance,West,334000,100200,233800,70.0,668,500,0,0.0,Direct,SR-044,Enterprise
June,2024,Training,Northeast,109000,54500,54500,50.0,54,2019,0,0.0,Online,SR-013,Mid-Market
June,2024,Training,West,158000,79000,79000,50.0,79,2000,7900,5.0,Online,SR-046,Enterprise
July,2024,Enterprise SaaS,Northeast,2198000,659400,1538600,70.0,175,12560,219800,10.0,Direct,SR-011,Enterprise
July,2024,Enterprise SaaS,Southeast,1387000,416100,970900,70.0,110,12609,138700,10.0,Direct,SR-022,Enterprise
July,2024,Enterprise SaaS,Midwest,1234000,370200,863800,70.0,99,12465,123400,10.0,Partner,SR-033,Mid-Market
July,2024,Enterprise SaaS,West,2891000,867300,2023700,70.0,230,12570,289100,10.0,Direct,SR-044,Enterprise
July,2024,Professional Services,Northeast,512000,307200,204800,40.0,103,4971,25600,5.0,Direct,SR-012,Enterprise
July,2024,Professional Services,West,789000,473400,315600,40.0,131,6023,39450,5.0,Direct,SR-045,Enterprise
July,2024,Support & Maintenance,Northeast,226000,67800,158200,70.0,452,500,0,0.0,Direct,SR-011,Enterprise
July,2024,Support & Maintenance,West,327000,98100,228900,70.0,654,500,0,0.0,Direct,SR-044,Enterprise
July,2024,Training,Northeast,99000,49500,49500,50.0,49,2020,0,0.0,Online,SR-013,Mid-Market
July,2024,Training,West,145000,72500,72500,50.0,72,2014,7250,5.0,Online,SR-046,Enterprise
August,2024,Enterprise SaaS,Northeast,2287000,686100,1600900,70.0,182,12566,228700,10.0,Direct,SR-011,Enterprise
August,2024,Enterprise SaaS,Southeast,1445000,433500,1011500,70.0,115,12565,144500,10.0,Direct,SR-022,Enterprise
August,2024,Enterprise SaaS,Midwest,1312000,393600,918400,70.0,105,12495,131200,10.0,Partner,SR-033,Mid-Market
August,2024,Enterprise SaaS,West,3021000,906300,2114700,70.0,240,12588,302100,10.0,Direct,SR-044,Enterprise
August,2024,Professional Services,Northeast,534000,320400,213600,40.0,107,4991,26700,5.0,Direct,SR-012,Enterprise
August,2024,Professional Services,West,812000,487200,324800,40.0,135,6015,40600,5.0,Direct,SR-045,Enterprise
