Ticket_ID,Created_Date,Resolved_Date,Resolution_Hours,Company,Department,Product,Issue_Type,Priority,Status,Issue_Summary,Resolution_Notes,CSAT_Score,Escalated,Reopened,Agent_ID
TKT-10000,2024-08-05,2024-08-05 00:00,7,Cornerstone Dynamics,Finance,Excel Copilot,Performance,P1-Critical,Resolved,Batch prompt processing degraded during end-of-quarter reporting window,Routing configuration updated; load balancing adjusted; performance restored to SLA within 4 hours,3,No,No,AGT-102
TKT-10001,2024-07-07,2024-07-07 00:00,21,Apex Global Partners,Sales,PowerPoint Copilot,Login/Access,P2-High,Resolved,Service principal permissions insufficient for Copilot Graph API calls,Escalated to Azure AD team; conditional access policy updated; SSO re-validated across all tenants,4,Yes,No,AGT-119
TKT-10002,2024-12-26,2024-12-31 00:00,132,Meridian Financial Group,Executive,Excel Copilot,Billing,P4-Low,Resolved,Seat reallocation after M&A not reflected in current billing cycle,Billing team issued corrected invoice; credit applied to next billing cycle; account reconciled,3,No,No,AGT-104
TKT-10003,2024-12-02,2024-12-03 00:00,41,Cornerstone Dynamics,Executive,Teams Premium,Performance,P3-Medium,Resolved,Excel Copilot formula generation stalling on sheets with 100k+ rows,Routing configuration updated; load balancing adjusted; performance restored to SLA within 4 hours,5,No,No,AGT-103
TKT-10004,2024-11-25,,,Fortress Consulting,Executive,Teams Premium,Training,P3-Medium,In Progress,Request for admin-led prompt engineering workshop for Finance team leads,Under investigation,,No,Yes,AGT-108
TKT-10005,2024-10-06,2024-10-09 00:00,95,Apex Global Partners,Executive,Copilot Chat,Billing,P4-Low,Closed,Seat reallocation after M&A not reflected in current billing cycle,Billing team issued corrected invoice; credit applied to next billing cycle; account reconciled,3,No,No,AGT-107
TKT-10006,2024-08-13,,,Meridian Financial Group,Sales,Outlook Copilot,Billing,P4-Low,In Progress,Monthly usage overage charge on account despite license pool not exhausted,Under investigation,,No,No,AGT-115
TKT-10007,2024-09-22,2024-09-22 00:00,15,Fortress Consulting,Finance,Outlook Copilot,Bug Report,P3-Medium,Resolved,Copilot in Teams meeting generating duplicate action items for recurring calls,Root cause identified in build 24.11.2; patch released; regression testing complete,5,No,No,AGT-109
TKT-10008,2024-08-24,2024-08-25 00:00,24,Fortress Consulting,Legal,Teams Premium,Performance,P2-High,Closed,Excel Copilot formula generation stalling on sheets with 100k+ rows,Routing configuration updated; load balancing adjusted; performance restored to SLA within 4 hours,5,Yes,No,AGT-105
TKT-10009,2024-11-27,,,Fortress Consulting,Sales,Teams Premium,Billing,P2-High,Open,Enterprise agreement discount not applied to Q4 renewal invoice,Under investigation,,Yes,No,AGT-108
TKT-10010,2024-07-29,,,Meridian Financial Group,Executive,Copilot Chat,Data Export,P3-Medium,In Progress,Audit log export missing Copilot interaction metadata for compliance review,Under investigation,,No,No,AGT-120
TKT-10011,2024-09-03,,,Fortress Consulting,Operations,PowerPoint Copilot,Performance,P3-Medium,In Progress,Copilot response latency exceeding 8 seconds during peak trading hours 9-11am EST,Under investigation,,No,No,AGT-109
TKT-10012,2024-07-01,,,Vantage Capital LLC,Finance,Word Copilot,Feature Request,P2-High,Open,Need bulk prompt assignment capability for onboarding new business unit (200 users),Under investigation,,No,No,AGT-104
TKT-10013,2024-08-09,2024-08-13 00:00,119,Fortress Consulting,Sales,Excel Copilot,Billing,P4-Low,Resolved,Usage-based billing discrepancy between admin portal and invoice line items,Billing team issued corrected invoice; credit applied to next billing cycle; account reconciled,5,No,No,AGT-101
TKT-10014,2024-09-17,2024-09-18 00:00,38,Meridian Financial Group,IT,Teams Premium,API Error,P3-Medium,Resolved,Webhook payload for Copilot events missing required fields per new schema version,Rate limiting increased for enterprise tier; throttling configuration updated in gateway,5,No,Yes,AGT-103
TKT-10015,2024-08-02,,,Fortress Consulting,Executive,Excel Copilot,Compliance,P4-Low,Open,Copilot responses referencing documents outside user information barrier group,Under investigation,,No,No,AGT-117
TKT-10016,2024-12-24,,,Apex Global Partners,Sales,Outlook Copilot,API Error,P3-Medium,In Progress,OAuth token refresh failing silently for background automation agents,Under investigation,,No,No,AGT-112
TKT-10017,2024-08-27,2024-08-28 00:00,40,Vantage Capital LLC,IT,Excel Copilot,Compliance,P4-Low,Resolved,Data residency policy not enforced - EU tenant data routed through US datacenter,Configuration corrected; data residency verified; compliance team signed off; incident documented for SOC2 review,5,No,No,AGT-119
TKT-10018,2024-07-09,2024-07-09 00:00,8,Meridian Financial Group,Finance,Copilot Chat,Integration,P1-Critical,Resolved,Salesforce CRM connector not passing deal context to Copilot prompts,Connector configuration corrected; service principal permissions updated; integration re-tested and validated,4,No,No,AGT-116
TKT-10019,2024-09-01,2024-09-03 00:00,68,Fortress Consulting,Sales,Word Copilot,Integration,P3-Medium,Closed,ServiceNow ticket data not accessible in Copilot Chat despite permissions granted,Connector configuration corrected; service principal permissions updated; integration re-tested and validated,3,No,No,AGT-112
